Model,Augmentation,Freeze,Optimizer,LR,Batch Size,Epochs,Train Accuracy,Validation Accuracy,Accuracy,Precision,Recall,F1,Specificity,FPR,FNR,Error Rate,ROC-AUC
ResNet50,NoAug,FineTune,Adam,0.0001,24,10,1.0,0.9166666865348816,0.09722222222222222,0.019425019425019424,0.09722222222222222,0.032176973353443945,0.8871527777777778,0.11284722222222222,0.9027777777777778,0.2006172839506173,0.513671875
ResNet50,NoAug,FineTune,Adam,0.0001,32,10,0.996515691280365,0.9305555820465088,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4175347222222222
ResNet50,NoAug,FineTune,SGD,0.0001,24,10,0.1428571492433548,0.1388888955116272,0.1388888888888889,0.06862745098039216,0.1388888888888889,0.0604288499025341,0.8923611111111112,0.1076388888888889,0.8611111111111112,0.19135802469135804,0.544921875
ResNet50,NoAug,FineTune,SGD,0.0001,32,10,0.1428571492433548,0.125,0.1111111111111111,0.013071895424836602,0.1111111111111111,0.023391812865497075,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4926215277777778
ResNet50,NoAug,FineTune,RMSprop,0.0001,24,10,0.99303138256073,0.9722222089767456,0.16666666666666666,0.03935185185185185,0.16666666666666666,0.0625,0.8958333333333334,0.10416666666666667,0.8333333333333334,0.1851851851851852,0.51171875
ResNet50,NoAug,FineTune,RMSprop,0.0001,32,10,1.0,0.9305555820465088,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.615234375
ResNet50,Augmented,Frozen,Adam,0.0001,24,10,0.8397212624549866,0.8888888955116272,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4802517361111111
ResNet50,Augmented,Frozen,Adam,0.0001,32,10,0.7665505409240723,0.8333333134651184,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4646267361111111
ResNet50,Augmented,Frozen,SGD,0.0001,24,10,0.1463414579629898,0.1805555522441864,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.4984809027777778
ResNet50,Augmented,Frozen,SGD,0.0001,32,10,0.15679442882537842,0.2083333283662796,0.1111111111111111,0.012345679012345678,0.1111111111111111,0.022222222222222223,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.19753086419753085,0.509765625
